sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
133,38,26-07-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
134,39,28-07-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
135,40,28-07-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
136,41,03-08-2024,M/S R.R.FOUNDERS,29AABFR5630G1Z8,8350,CGST@9%,751.5,SGST@9%,751.5,,,9853,,,,,,,,,,,,
137,42,13-08-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,67280,CGST@9%,6055.2,SGST@9%,6055.2,,,79390,,,,,,,,,,,,
138,43,22-08-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,13800,CGST@9%,1242,SGST@9%,1242,,,16284,,,,,,,,,,,,
139,44,28-08-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
140,45,28-08-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
141,46,09-09-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,325000,CGST@9%,29250,SGST@9%,29250,,,383500,,,,,,,,,,,,
142,47,10-09-2024,M/S MAWALEWARI ENGINEERING,20ATNPK3858L1ZC,45000,,,,,IGST@18%,8100,53100,,,,,,,,,,,,
